user.index,steps.utime,steps.utime.local,steps,decision.index,slot,study.day.nogap,decision.index.following.dec,slot.following.dec,study.day.nogap.following.dec
1,2015-07-22 14:54:00,2015-07-22 10:54:00,19,,,,0.0,2.0,0.0
1,2015-07-22 14:55:00,2015-07-22 10:55:00,48,,,,0.0,2.0,0.0
1,2015-07-22 14:56:00,2015-07-22 10:56:00,109,,,,0.0,2.0,0.0
1,2015-07-22 14:57:00,2015-07-22 10:57:00,6,,,,0.0,2.0,0.0
1,2015-07-22 15:04:00,2015-07-22 11:04:00,58,,,,0.0,2.0,0.0
1,2015-07-22 15:05:00,2015-07-22 11:05:00,2,,,,0.0,2.0,0.0
1,2015-07-22 15:13:00,2015-07-22 11:13:00,61,,,,0.0,2.0,0.0
1,2015-07-22 15:22:00,2015-07-22 11:22:00,27,,,,0.0,2.0,0.0
1,2015-07-22 15:23:00,2015-07-22 11:23:00,73,,,,0.0,2.0,0.0
1,2015-07-22 15:24:00,2015-07-22 11:24:00,69,,,,0.0,2.0,0.0
1,2015-07-22 15:36:00,2015-07-22 11:36:00,65,,,,0.0,2.0,0.0
1,2015-07-22 15:37:00,2015-07-22 11:37:00,100,,,,0.0,2.0,0.0
1,2015-07-22 15:38:00,2015-07-22 11:38:00,122,,,,0.0,2.0,0.0
1,2015-07-22 15:39:00,2015-07-22 11:39:00,117,,,,0.0,2.0,0.0
1,2015-07-22 15:40:00,2015-07-22 11:40:00,120,,,,0.0,2.0,0.0
1,2015-07-22 15:41:00,2015-07-22 11:41:00,46,,,,0.0,2.0,0.0
1,2015-07-22 15:42:00,2015-07-22 11:42:00,55,,,,0.0,2.0,0.0
1,2015-07-22 15:43:00,2015-07-22 11:43:00,116,,,,0.0,2.0,0.0
1,2015-07-22 15:44:00,2015-07-22 11:44:00,107,,,,0.0,2.0,0.0
1,2015-07-22 15:53:00,2015-07-22 11:53:00,26,,,,0.0,2.0,0.0
1,2015-07-22 16:42:00,2015-07-22 12:42:00,69,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:43:00,2015-07-22 12:43:00,113,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:44:00,2015-07-22 12:44:00,30,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:46:00,2015-07-22 12:46:00,34,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:47:00,2015-07-22 12:47:00,23,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:48:00,2015-07-22 12:48:00,102,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:49:00,2015-07-22 12:49:00,119,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:50:00,2015-07-22 12:50:00,118,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:51:00,2015-07-22 12:51:00,118,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:52:00,2015-07-22 12:52:00,112,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:53:00,2015-07-22 12:53:00,60,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:54:00,2015-07-22 12:54:00,70,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:55:00,2015-07-22 12:55:00,97,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:56:00,2015-07-22 12:56:00,71,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:57:00,2015-07-22 12:57:00,31,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:58:00,2015-07-22 12:58:00,75,0.0,2.0,0.0,1.0,3.0,0.0
1,2015-07-22 16:59:00,2015-07-22 12:59:00,69,0.0,2.0,0.0,1.0,3.0,0.0
