uid,cluster,age,gender,selfeff.intake,consc
1,0,48,female,19,21
2,1,28,male,12,25
3,3,20,female,14,23
4,0,21,male,21,22
7,0,41,female,11,21
8,0,24,male,15,18
9,0,22,male,13,26
10,0,20,female,12,23
11,0,19,female,13,19
12,1,25,male,11,26
13,0,22,female,12,25
14,2,54,female,17,22
15,1,23,female,20,22
16,0,55,male,17,22
17,0,29,female,13,27
18,0,52,female,16,20
20,0,46,female,10,23
21,0,28,male,18,21
22,0,60,female,15,21
23,1,24,female,16,25
25,0,46,female,14,20
26,2,53,female,18,22
29,0,28,male,14,26
30,0,28,male,18,21
31,0,26,male,10,25
32,2,41,female,15,18
33,2,30,female,12,22
34,0,64,female,18,26
35,0,57,female,16,23
36,0,25,female,17,27
