decision_datetime,is.randomized,snooze.status,intransit,avail,send,returned.message,response,dec.precipitation.chance,uid,decision_idx_nogap,decision_date,decision_slot,steps30,steps30pre,steps10,weather,temp,loc
2015-07-22 16:31:53,True,False,False,True,1,Hows your energy level this afternoon A 1015 minute walk can enliven your body,good,0.0,1,0.0,2015-07-22,2.0,1311.0,0.0,0.0,cloudy,warm,dining
2015-07-22 18:32:10,True,False,False,True,2,Its almost the end of the workday How about a refreshing walk to help you power through the last few hours,good,0.0,1,1.0,2015-07-22,3.0,414.0,418.0,414.0,cloudy,warm,work
2015-07-22 21:31:48,False,False,False,True,0,donotnotify,no_send,0.0,1,2.0,2015-07-22,4.0,341.0,261.0,140.0,cloudy,warm,home
2015-07-22 23:31:50,True,False,False,True,1,Quick look at the clock If the minute ends in an odd number try to remain standing for the next 5 minutes,no_response,0.0,1,3.0,2015-07-22,5.0,369.0,2913.0,229.0,cloudy,warm,home
2015-07-23 09:31:31,False,False,False,True,0,donotnotify,no_send,0.0,1,4.0,2015-07-23,1.0,0.0,0.0,0.0,clear,cool,home
2015-07-23 16:33:51,True,False,False,True,1,Hey you Have you been sitting for a while Can you take a 5 minute walking break,bad,0.0,1,5.0,2015-07-23,2.0,893.0,1168.0,241.0,cloudy,warm,home
2015-07-23 18:31:07,True,False,False,True,2,How about taking a few minutes to enjoy nature Head outside walk until you see a wild animal even if its just a squirrel,good,0.0,1,6.0,2015-07-23,3.0,589.0,659.0,183.0,cloudy,warm,home
2015-07-23 21:31:16,True,False,False,True,2,Its a lovely evening Why not embrace the calm with a walk outside,bad,0.0,1,7.0,2015-07-23,4.0,899.0,2415.0,655.0,cloudy,hot,home
2015-07-23 23:32:54,False,False,False,True,0,donotnotify,no_send,0.0,1,8.0,2015-07-23,5.0,386.0,43.0,0.0,cloudy,warm,home
2015-07-24 09:31:49,False,False,False,True,0,donotnotify,no_send,0.0,1,9.0,2015-07-24,1.0,0.0,0.0,0.0,clear,mild,home
2015-07-24 16:31:31,True,False,False,True,1,Pamper your body a bit Try standing up and stretching your legs arms and neck Feels good doesnt it,good,0.0,1,10.0,2015-07-24,2.0,279.0,470.0,71.0,clear,hot,home
2015-07-24 18:31:58,True,False,False,True,1,Pamper your body a bit Try standing up and stretching your legs arms and neck Feels good doesnt it,good,0.0,1,11.0,2015-07-24,3.0,415.0,206.0,233.0,clear,hot,home
2015-07-24 21:31:41,True,False,False,True,2,Have you been sitting all day If you can try not to sit all night too Maybe tackle some active housework like cooking or vacuuming,no_response,0.0,1,12.0,2015-07-24,4.0,1310.0,930.0,1136.0,clear,hot,home
2015-07-24 23:31:40,False,False,False,True,0,donotnotify,no_send,0.0,1,13.0,2015-07-24,5.0,447.0,1326.0,0.0,clear,hot,home
2015-07-25 09:35:29,True,False,False,True,2,How can you be active this weekend How about trying out a new sport or checking out the farmers market,bad,0.0,1,14.0,2015-07-25,1.0,0.0,0.0,0.0,clear,mild,home
2015-07-25 16:31:00,True,False,False,True,2,Remember to spend time with friends loved ones who might want to join you for a walk right now,good,15.0,1,15.0,2015-07-25,2.0,82.0,55.0,82.0,cloudy,hot,service
2015-07-25 18:31:52,True,False,False,True,2,What can you do to increase your activity level right now Stand up Stretch Take a walk Go for a run,no_response,35.0,1,16.0,2015-07-25,3.0,585.0,1270.0,255.0,cloudy,hot,dining
2015-07-25 21:30:58,False,False,False,True,0,donotnotify,no_send,35.0,1,17.0,2015-07-25,4.0,520.0,245.0,287.0,cloudy,hot,home
2015-07-25 23:31:57,True,False,True,False,0,donotnotify,no_send,15.0,1,18.0,2015-07-25,5.0,129.0,353.0,84.0,clear,hot,shopping
2015-07-26 09:32:56,True,False,False,True,2,If you take a brisk walk now how will you feel for the rest of the day Spoiler alert More energized,bad,0.0,1,19.0,2015-07-26,1.0,0.0,0.0,0.0,cloudy,mild,home
2015-07-26 16:31:30,True,False,False,True,2,Who lucked out got great weekend weather Not you Well maybe you could fit in a 10minute walk anyway,bad,0.0,1,20.0,2015-07-26,2.0,1147.0,1484.0,673.0,clear,hot,home
2015-07-26 18:32:18,True,False,False,True,1,Dont forget to stretch at the weekend too Reach high then to the front then to the ground feel the tension release,no_response,0.0,1,21.0,2015-07-26,3.0,1188.0,863.0,95.0,clear,hot,home
2015-07-26 21:33:14,True,False,False,True,2,From raking leaves to mowing the lawn yard work is a great form of exercise Spend 10 minutes outside any weeds to be pulled,good,0.0,1,22.0,2015-07-26,4.0,204.0,1011.0,204.0,cloudy,hot,home
2015-07-26 23:31:32,False,False,False,True,0,donotnotify,no_send,0.0,1,23.0,2015-07-26,5.0,113.0,225.0,0.0,cloudy,hot,home
2015-07-27 09:31:46,False,False,False,True,0,donotnotify,no_send,0.0,1,24.0,2015-07-27,1.0,0.0,0.0,0.0,clear,cool,home
2015-07-27 16:31:55,False,False,False,True,0,donotnotify,no_send,0.0,1,25.0,2015-07-27,2.0,0.0,24.0,0.0,clear,hot,work
2015-07-27 18:31:56,True,False,False,True,1,Hey you Have you been sitting for a while Can you take a 5 minute walking break,good,0.0,1,26.0,2015-07-27,3.0,2240.0,0.0,0.0,clear,hot,work
2015-07-27 21:31:31,False,False,False,True,0,donotnotify,no_send,0.0,1,27.0,2015-07-27,4.0,532.0,81.0,170.0,clear,hot,home
2015-07-27 23:30:56,True,False,True,False,0,donotnotify,no_send,0.0,1,28.0,2015-07-27,5.0,3192.0,2510.0,1193.0,clear,hot,dining
2015-07-28 09:31:40,True,False,False,True,1,Quick lets stretch Stand up reeeeach for the sky reeeeach for your toes and repeat Feels good doesnt it,bad,0.0,1,29.0,2015-07-28,1.0,0.0,0.0,0.0,cloudy,cool,home
2015-07-28 16:31:37,True,False,False,True,2,Why not use your lunch hour to walk to your favorite healthy lunch spot,good,0.0,1,30.0,2015-07-28,2.0,284.0,66.0,0.0,clear,hot,work
2015-07-28 18:32:01,True,False,False,True,2,Have you been staring at a screen all day Give your eyes a break by walking a lap around this floor of your office building,good,0.0,1,31.0,2015-07-28,3.0,2939.0,0.0,735.0,clear,hot,work
2015-07-28 21:31:25,True,False,False,True,1,Tonight why not try a few stretches or yoga poses You can find beginner poses online might we suggest Childs Pose,no_response,0.0,1,32.0,2015-07-28,4.0,207.0,249.0,55.0,cloudy,hot,home
2015-07-28 23:31:32,False,False,False,True,0,donotnotify,no_send,0.0,1,33.0,2015-07-28,5.0,2390.0,2508.0,948.0,clear,hot,home
2015-07-29 10:31:34,False,False,False,True,0,donotnotify,no_send,0.0,1,34.0,2015-07-29,1.0,254.0,0.0,95.0,cloudy,mild,home
2015-07-29 16:31:31,True,False,False,True,1,Quick lets stretch Stand up reeeeach for the sky reeeeach for your toes and repeat Feels good doesnt it,good,35.0,1,35.0,2015-07-29,2.0,1899.0,0.0,55.0,clear,hot,work
2015-07-29 18:33:15,True,False,False,True,1,Time for a few light stretches Start at your head work all the way down to your toes It will energize you for the rest of the work day,good,58.0,1,36.0,2015-07-29,3.0,0.0,276.0,0.0,cloudy,hot,work
2015-07-29 21:31:39,True,False,False,True,1,Sometimes your body talks sometimes your body screams What does it need right now Maybe a few minutes of stretching,good,15.0,1,37.0,2015-07-29,4.0,146.0,265.0,62.0,cloudy,hot,home
2015-07-29 23:34:10,False,False,False,True,0,donotnotify,no_send,15.0,1,38.0,2015-07-29,5.0,537.0,1254.0,474.0,clear,hot,home
2015-07-30 10:31:50,False,False,False,True,0,donotnotify,no_send,0.0,1,39.0,2015-07-30,1.0,463.0,0.0,183.0,clear,mild,home
2015-07-30 16:32:07,True,False,False,True,2,Intraoffice communication is important How about walking to a coworkers desk asking for some workrelated advice,good,0.0,1,40.0,2015-07-30,2.0,24.0,300.0,24.0,clear,warm,work
2015-07-30 18:31:45,True,False,False,True,1,A lowerleg exercise you can do at your desk rotate your right foot clockwise 15 times then counterclockwise Repeat with left foot,good,0.0,1,41.0,2015-07-30,3.0,176.0,2773.0,176.0,clear,hot,work
2015-07-30 21:31:04,True,False,False,True,1,Sometimes your body talks sometimes your body screams What does it need right now Maybe a few minutes of stretching,bad,0.0,1,42.0,2015-07-30,4.0,0.0,1355.0,0.0,clear,hot,dining
2015-07-30 23:31:59,True,False,False,True,1,Tonight why not try a few stretches or yoga poses You can find beginner poses online might we suggest Childs Pose,no_response,0.0,1,43.0,2015-07-30,5.0,0.0,159.0,0.0,clear,hot,home
2015-07-31 10:31:46,True,False,False,True,2,The weather is beautiful Dont believe us Well head outside see for yourself,good,0.0,1,44.0,2015-07-31,1.0,62.0,0.0,62.0,clear,mild,home
2015-07-31 16:31:25,False,False,True,False,0,donotnotify,no_send,0.0,1,45.0,2015-07-31,2.0,251.0,451.0,105.0,clear,warm,service
2015-07-31 18:33:26,True,False,False,True,2,Be selfishtake a walk When youre exercising theres truly nothing better you can be doing for yourself,no_response,15.0,1,46.0,2015-07-31,3.0,1261.0,1444.0,449.0,cloudy,hot,home
2015-07-31 21:32:01,False,False,False,True,0,donotnotify,no_send,15.0,1,47.0,2015-07-31,4.0,1805.0,2267.0,711.0,clear,hot,home
2015-07-31 23:31:57,True,False,False,True,2,What healthy treat could you make today How about a cup of tea or coffee You could do squats or jumping jacks while the water heats up,no_response,15.0,1,48.0,2015-07-31,5.0,3066.0,1510.0,1043.0,clear,warm,home
2015-08-01 10:33:18,True,False,False,True,2,Mornings are so full of possibility How about a walk around the neighborhood before you start your day,bad,0.0,1,49.0,2015-08-01,1.0,0.0,0.0,0.0,clear,cool,home
2015-08-01 16:31:46,True,False,False,True,2,30min of walking can have many health benefits including reducing the risk of osteoporosis some cancers How about 15min now 15min later,no_response,0.0,1,50.0,2015-08-01,2.0,183.0,595.0,39.0,clear,hot,home
2015-08-01 18:32:02,False,False,False,True,0,donotnotify,no_send,15.0,1,51.0,2015-08-01,3.0,709.0,454.0,268.0,cloudy,hot,service
2015-08-01 21:31:56,True,False,False,True,2,Planning to watch TV tonight Taking a walk even 5 minutes before the show will help you relax unwind,no_response,15.0,1,52.0,2015-08-01,4.0,532.0,490.0,122.0,clear,hot,service
2015-08-01 23:31:54,True,False,False,True,2,Its a great evening for a walk How about going for a stroll,no_response,0.0,1,53.0,2015-08-01,5.0,238.0,20.0,0.0,clear,warm,service
2015-08-02 10:31:49,True,False,False,True,2,Hey youre pretty tough Do you think you can take a brisk 15min walk before heading to work to rev up your body for the day,bad,0.0,1,54.0,2015-08-02,1.0,0.0,0.0,0.0,clear,cool,home
2015-08-02 16:31:31,True,False,False,True,1,Wheres the most beautiful spot in your town Could you walk or bike there Or drive but then get out of your car explore,no_response,15.0,1,55.0,2015-08-02,2.0,1366.0,858.0,653.0,clear,hot,home
