uid,n,days,slot1_h,peak_slot,mean10,zero%,avail%,good_a1%,bad_a1%,good_a2%,bad_a2%,snooze%,top_loc,home%,work%,eff_a1,eff_a2
1,169,35,10,5,138.0,42.0,93.0,38.0,15.0,30.0,26.0,0.0,home,57.0,20.0,-0.17,0.26
2,146,35,13,2,72.0,66.0,92.0,22.0,0.0,11.0,4.0,0.0,work,0.0,77.0,0.5,0.55
3,178,38,13,4,53.0,70.0,83.0,45.0,7.0,43.0,15.0,0.0,work,0.0,35.0,0.19,0.57
4,174,40,11,4,114.0,47.0,79.0,39.0,3.0,32.0,11.0,2.0,dining,21.0,12.0,0.02,0.09
5,205,43,13,3,63.0,58.0,88.0,74.0,8.0,43.0,31.0,0.0,home,32.0,22.0,0.76,-0.48
6,156,34,10,2,117.0,46.0,79.0,34.0,22.0,29.0,40.0,0.0,home,40.0,10.0,0.04,-0.09
7,196,42,10,3,71.0,53.0,91.0,40.0,0.0,37.0,12.0,1.0,home,58.0,23.0,-0.12,0.58
8,213,44,12,2,126.0,48.0,90.0,27.0,58.0,31.0,51.0,0.0,dining,0.0,42.0,0.67,0.63
9,178,40,11,4,79.0,61.0,93.0,34.0,5.0,7.0,24.0,0.0,work,30.0,41.0,-0.91,-0.71
10,208,43,13,3,76.0,62.0,84.0,62.0,24.0,40.0,28.0,1.0,home,45.0,35.0,-0.62,-0.53
11,205,42,11,3,66.0,58.0,85.0,41.0,5.0,33.0,5.0,0.0,home,36.0,25.0,-0.16,0.48
12,218,48,12,3,113.0,56.0,83.0,49.0,13.0,22.0,20.0,1.0,work,8.0,69.0,0.19,-0.04
13,98,21,13,5,73.0,49.0,86.0,57.0,4.0,54.0,11.0,4.0,home,53.0,20.0,-1.37,0.46
14,189,39,13,2,81.0,41.0,89.0,21.0,0.0,47.0,7.0,1.0,service,7.0,29.0,-0.23,0.4
15,96,27,12,2,85.0,64.0,82.0,5.0,0.0,8.0,4.0,0.0,home,31.0,31.0,-0.69,-0.3
16,168,37,11,2,90.0,53.0,97.0,39.0,2.0,34.0,10.0,0.0,home,46.0,42.0,0.61,1.06
17,190,42,12,5,92.0,67.0,92.0,20.0,27.0,19.0,41.0,0.0,home,36.0,30.0,-0.74,-0.68
18,186,41,10,3,46.0,60.0,84.0,15.0,0.0,11.0,6.0,0.0,home,44.0,23.0,-0.51,-0.16
19,200,41,11,2,94.0,52.0,90.0,51.0,32.0,15.0,63.0,0.0,work,0.0,84.0,0.65,0.34
20,227,47,13,3,47.0,56.0,93.0,86.0,4.0,72.0,5.0,0.0,work,33.0,34.0,0.18,-0.04
21,230,47,14,4,117.0,45.0,86.0,86.0,4.0,77.0,5.0,0.0,work,36.0,37.0,0.45,0.04
22,197,42,13,2,51.0,64.0,86.0,54.0,2.0,39.0,8.0,3.0,work,3.0,44.0,-0.38,-0.28
23,164,36,11,4,76.0,65.0,93.0,52.0,0.0,45.0,2.0,0.0,work,1.0,76.0,-0.16,-0.5
24,151,32,13,5,96.0,40.0,88.0,31.0,29.0,20.0,30.0,2.0,home,76.0,5.0,-0.41,1.06
25,181,40,14,1,125.0,29.0,87.0,25.0,3.0,19.0,8.0,0.0,work,36.0,42.0,-0.83,0.19
26,187,40,13,2,55.0,55.0,88.0,59.0,3.0,42.0,23.0,0.0,service,0.0,36.0,0.01,-0.36
27,156,36,13,4,48.0,58.0,87.0,56.0,11.0,39.0,35.0,0.0,activity,0.0,19.0,0.45,0.67
28,184,39,12,2,180.0,59.0,86.0,38.0,32.0,29.0,40.0,0.0,work,28.0,52.0,-0.5,-0.03
29,193,42,13,4,75.0,52.0,87.0,57.0,4.0,55.0,9.0,0.0,home,30.0,26.0,0.3,0.35
30,160,37,12,2,235.0,58.0,88.0,21.0,9.0,27.0,15.0,0.0,home,39.0,19.0,-0.6,-0.1
31,82,21,14,2,101.0,56.0,85.0,39.0,0.0,32.0,0.0,0.0,work,27.0,29.0,-1.08,0.32
32,106,23,14,4,46.0,58.0,83.0,26.0,5.0,25.0,11.0,0.0,shopping,2.0,2.0,1.01,0.53
33,174,40,14,4,73.0,45.0,78.0,37.0,3.0,41.0,7.0,0.0,home,36.0,2.0,0.45,1.09
34,186,41,14,2,41.0,59.0,85.0,40.0,2.0,38.0,20.0,1.0,home,45.0,0.0,-0.72,-0.4
35,184,39,12,2,82.0,49.0,90.0,33.0,14.0,41.0,26.0,0.0,activity,13.0,25.0,-0.6,0.57
36,137,31,14,1,116.0,53.0,90.0,27.0,4.0,19.0,12.0,0.0,work,25.0,34.0,0.56,-0.07
37,184,41,13,5,56.0,48.0,89.0,27.0,0.0,22.0,0.0,0.0,home,39.0,27.0,0.88,0.37
