state_cols,n_cells,n_sparse,r_bar_naive,V_naive,r_bar_cv,V_cv
(none),1,0,1.661257013189269,33.22514026378535,1.6612570131892885,33.22514026378574
slot,5,0,1.6973418998202079,33.94683799640413,1.624338285302349,32.48676570604695
slot+weekday,35,0,1.8913104709952027,37.82620941990402,1.6494492017048819,32.988984034097605
slot+dosage_bin,20,0,1.8104742160778065,36.2094843215561,1.542772082300122,30.855441646002415
slot+steps30pre_bin,15,0,1.751085326734902,35.02170653469801,1.636853172284415,32.73706344568827
slot+weather,15,0,1.753747894908784,35.07495789817565,1.5332637206619102,30.665274413238176
slot+weekday+dosage_bin,140,0,1.9569257264062208,39.13851452812438,1.5913401920021863,31.8268038400437
slot+weekday+steps30pre_bin,105,5,2.0039942503130113,40.07988500626019,1.6396397891859236,32.79279578371844
slot+dosage_bin+steps30pre_bin,60,0,1.9125313360352987,38.25062672070594,1.5710274213820705,31.420548427641382
slot+weekday+dosage_bin+steps30pre_bin,420,356,1.3671504388857512,27.343008777715,1.6426683827663167,32.8533676553263
slot+weekday+dosage_bin+steps30pre_bin+weather,1260,1245,1.5927382436619169,31.85476487323831,1.6517281915640727,33.034563831281424
