slot,weekday,0,1,2
0,0,1,1,0
0,1,0,1,2
0,2,0,1,1
0,3,1,0,1
0,4,1,0,0
0,6,0,1,2
1,0,78,33,62
1,1,69,47,58
1,2,82,45,54
1,3,80,34,64
1,4,67,38,69
1,5,62,39,69
1,6,64,43,68
2,0,71,60,43
2,1,68,43,56
2,2,79,51,35
2,3,68,51,42
2,4,66,42,46
2,5,74,41,30
2,6,61,39,49
3,0,64,51,68
3,1,65,43,54
3,2,70,38,64
3,3,74,41,51
3,4,64,43,55
3,5,58,37,52
3,6,74,58,37
4,0,55,39,58
4,1,59,30,56
4,2,63,51,39
4,3,61,27,53
4,4,53,34,48
4,5,54,38,54
4,6,62,38,61
5,0,55,54,53
5,1,61,42,55
5,2,63,38,52
5,3,67,40,57
5,4,69,44,51
5,5,61,42,49
5,6,72,37,51
6,0,2,0,0
6,1,0,0,1
