slot,avail,n,n_zero,zero_rate,ci_lo,ci_hi,persona_mean_zero_pct,persona_median_zero_pct,n_uids,delta_vs_persona
1,False,73,28,0.384,0.281,0.498,0.449,0.367,28,-0.065
1,True,1224,881,0.72,0.694,0.744,0.718,0.694,37,0.002
2,False,178,51,0.287,0.225,0.357,0.316,0.333,36,-0.029
2,True,1115,574,0.515,0.485,0.544,0.511,0.514,37,0.004
3,False,157,51,0.325,0.257,0.402,0.324,0.25,36,0.001
3,True,1160,616,0.531,0.502,0.56,0.536,0.511,37,-0.005
4,False,247,101,0.409,0.349,0.471,0.355,0.333,37,0.054
4,True,1032,534,0.517,0.487,0.548,0.508,0.514,37,0.009
5,False,154,53,0.344,0.274,0.422,0.333,0.333,35,0.011
5,True,1113,594,0.534,0.504,0.563,0.54,0.529,37,-0.006
