s30_bin,avail,n_real,nz_real,zr_real,n_synth,nz_synth,zr_synth,delta_zr
high,False,172,45,0.262,349,7,0.02,-0.242
high,True,544,185,0.34,2220,48,0.022,-0.318
low,False,157,56,0.357,1027,16,0.016,-0.341
low,True,1323,657,0.497,6173,134,0.022,-0.475
med,False,242,78,0.322,662,6,0.009,-0.313
med,True,990,394,0.398,3655,63,0.017,-0.381
very_high,False,59,6,0.102,112,0,0.0,-0.102
very_high,True,123,29,0.236,692,20,0.029,-0.207
very_low,False,61,24,0.393,558,12,0.022,-0.371
very_low,True,643,393,0.611,3321,116,0.035,-0.576
zero,False,118,75,0.636,1209,88,0.073,-0.563
zero,True,2021,1541,0.762,8142,910,0.112,-0.65
