slot,s30_bin,avail,n,n_zero,zero_rate,ci_lo,ci_hi
1,high,False,15,3,,,
1,high,True,58,19,0.328,0.221,0.456
1,low,False,18,7,,,
1,low,True,158,78,0.494,0.417,0.571
1,med,False,19,6,,,
1,med,True,138,52,0.377,0.3,0.46
1,very_high,False,3,1,,,
1,very_high,True,8,1,,,
1,very_low,False,4,0,,,
1,very_low,True,109,67,0.615,0.521,0.701
1,zero,False,14,11,,,
1,zero,True,753,664,0.882,0.857,0.903
2,high,False,47,8,0.17,0.089,0.301
2,high,True,144,43,0.299,0.23,0.378
2,low,False,34,10,0.294,0.168,0.462
2,low,True,258,142,0.55,0.489,0.61
2,med,False,52,13,0.25,0.152,0.382
2,med,True,231,84,0.364,0.304,0.427
2,very_high,False,14,2,,,
2,very_high,True,28,8,0.286,0.153,0.471
2,very_low,False,10,7,,,
2,very_low,True,141,87,0.617,0.535,0.693
2,zero,False,21,11,0.524,0.324,0.717
2,zero,True,313,210,0.671,0.617,0.721
3,high,False,37,10,0.27,0.154,0.43
3,high,True,121,36,0.298,0.223,0.384
3,low,False,24,5,0.208,0.092,0.405
3,low,True,298,139,0.466,0.411,0.523
3,med,False,37,11,0.297,0.175,0.458
3,med,True,225,99,0.44,0.377,0.505
3,very_high,False,10,1,,,
3,very_high,True,28,10,0.357,0.207,0.542
3,very_low,False,22,9,0.409,0.233,0.613
3,very_low,True,126,84,0.667,0.581,0.743
3,zero,False,27,15,0.556,0.373,0.724
3,zero,True,362,248,0.685,0.636,0.731
4,high,False,47,16,0.34,0.222,0.483
4,high,True,128,55,0.43,0.347,0.516
4,low,False,53,24,0.453,0.327,0.585
4,low,True,276,130,0.471,0.413,0.53
4,med,False,82,31,0.378,0.281,0.486
4,med,True,223,91,0.408,0.346,0.474
4,very_high,False,16,1,,,
4,very_high,True,27,5,0.185,0.082,0.367
4,very_low,False,14,4,,,
4,very_low,True,118,63,0.534,0.444,0.621
4,zero,False,35,25,0.714,0.549,0.837
4,zero,True,260,190,0.731,0.674,0.781
5,high,False,26,8,0.308,0.165,0.5
5,high,True,93,32,0.344,0.255,0.445
5,low,False,28,10,0.357,0.207,0.542
5,low,True,333,168,0.505,0.451,0.558
5,med,False,52,17,0.327,0.215,0.462
5,med,True,173,68,0.393,0.323,0.467
5,very_high,False,16,1,,,
5,very_high,True,32,5,0.156,0.069,0.318
5,very_low,False,11,4,,,
5,very_low,True,149,92,0.617,0.537,0.692
5,zero,False,21,13,0.619,0.409,0.792
5,zero,True,333,229,0.688,0.636,0.735
