slot,s30_bin,avail,n_real,nz_real,zr_real,n_synth,nz_synth,zr_synth,delta_zr
1,high,False,15,3,,27,5,0.185,
1,high,True,58,19,0.328,215,5,0.023,-0.305
1,low,False,18,7,,106,3,0.028,
1,low,True,158,78,0.494,766,37,0.048,-0.446
1,med,False,19,6,,54,0,0.0,
1,med,True,138,52,0.377,424,16,0.038,-0.339
1,very_high,False,3,1,,3,0,,
1,very_high,True,8,1,,51,4,0.078,
1,very_low,False,4,0,,70,5,0.071,
1,very_low,True,109,67,0.615,544,42,0.077,-0.538
1,zero,False,14,11,,358,72,0.201,
1,zero,True,753,664,0.882,3006,666,0.222,-0.66
2,high,False,47,8,0.17,72,0,0.0,-0.17
2,high,True,144,43,0.299,534,11,0.021,-0.278
2,low,False,34,10,0.294,226,0,0.0,-0.294
2,low,True,258,142,0.55,1409,23,0.016,-0.534
2,med,False,52,13,0.25,160,0,0.0,-0.25
2,med,True,231,84,0.364,839,11,0.013,-0.351
2,very_high,False,14,2,,35,0,0.0,
2,very_high,True,28,8,0.286,156,2,0.013,-0.273
2,very_low,False,10,7,,94,0,0.0,
2,very_low,True,141,87,0.617,655,26,0.04,-0.577
2,zero,False,21,11,0.524,188,1,0.005,-0.519
2,zero,True,313,210,0.671,1256,49,0.039,-0.632
3,high,False,37,10,0.27,72,1,0.014,-0.256
3,high,True,121,36,0.298,503,6,0.012,-0.286
3,low,False,24,5,0.208,201,6,0.03,-0.178
3,low,True,298,139,0.466,1326,37,0.028,-0.438
3,med,False,37,11,0.297,128,3,0.023,-0.274
3,med,True,225,99,0.44,823,15,0.018,-0.422
3,very_high,False,10,1,,16,0,,
3,very_high,True,28,10,0.357,154,2,0.013,-0.344
3,very_low,False,22,9,0.409,113,4,0.035,-0.374
3,very_low,True,126,84,0.667,669,18,0.027,-0.64
3,zero,False,27,15,0.556,221,6,0.027,-0.529
3,zero,True,362,248,0.685,1398,58,0.041,-0.644
4,high,False,47,16,0.34,96,1,0.01,-0.33
4,high,True,128,55,0.43,508,18,0.035,-0.395
4,low,False,53,24,0.453,291,5,0.017,-0.436
4,low,True,276,130,0.471,1284,23,0.018,-0.453
4,med,False,82,31,0.378,196,1,0.005,-0.373
4,med,True,223,91,0.408,829,10,0.012,-0.396
4,very_high,False,16,1,,35,0,0.0,
4,very_high,True,27,5,0.185,171,10,0.058,-0.127
4,very_low,False,14,4,,160,3,0.019,
4,very_low,True,118,63,0.534,674,18,0.027,-0.507
4,zero,False,35,25,0.714,230,6,0.026,-0.688
4,zero,True,260,190,0.731,1150,71,0.062,-0.669
5,high,False,26,8,0.308,82,0,0.0,-0.308
5,high,True,93,32,0.344,460,8,0.017,-0.327
5,low,False,28,10,0.357,203,2,0.01,-0.347
5,low,True,333,168,0.505,1388,14,0.01,-0.495
5,med,False,52,17,0.327,124,2,0.016,-0.311
5,med,True,173,68,0.393,740,11,0.015,-0.378
5,very_high,False,16,1,,23,0,0.0,
5,very_high,True,32,5,0.156,160,2,0.012,-0.144
5,very_low,False,11,4,,121,0,0.0,
5,very_low,True,149,92,0.617,779,12,0.015,-0.602
5,zero,False,21,13,0.619,212,3,0.014,-0.605
5,zero,True,333,229,0.688,1332,66,0.05,-0.638
