uid,study_day,weekday,hr,slot,weather,temp,loc,avail,steps30pre,send,steps10,steps30pre_bin
1001,1,2,16,2,cloudy,warm,dining,True,0.0,1,99.56008358007607,0
1001,1,2,18,3,cloudy,warm,work,True,418.0,2,89.44222917778065,3
1001,1,2,21,4,cloudy,warm,home,True,261.0,0,139.71299104199073,3
1001,1,2,23,5,cloudy,warm,home,True,2913.0,1,115.31647322085246,3
1001,2,3,9,1,clear,cool,home,True,0.0,0,14.422520470782509,0
1001,2,3,16,2,cloudy,warm,home,True,1168.0,1,298.6523656772936,3
1001,2,3,18,3,cloudy,warm,home,True,659.0,2,224.66423536754814,3
1001,2,3,21,4,cloudy,hot,home,True,2415.0,2,215.23878034418146,3
1001,2,3,23,5,cloudy,warm,home,True,43.0,0,70.23658927762257,1
1001,3,4,9,1,clear,mild,home,True,0.0,0,7.339724792397867,0
1001,3,4,16,2,clear,hot,home,True,470.0,1,332.631302963317,3
1001,3,4,18,3,clear,hot,home,True,206.0,1,152.08109133141804,3
1001,3,4,21,4,clear,hot,home,True,930.0,2,159.9867624068221,3
1001,3,4,23,5,clear,hot,home,True,1326.0,0,133.83079799978117,3
1001,4,5,9,1,clear,mild,home,True,0.0,2,12.649660630513072,0
1001,4,5,16,2,cloudy,hot,service,True,55.0,2,162.33008913768285,2
1001,4,5,18,3,cloudy,hot,dining,True,1270.0,2,128.79852075175202,3
1001,4,5,21,4,cloudy,hot,home,True,245.0,0,167.78312536314922,3
1001,4,5,23,5,clear,hot,shopping,False,353.0,0,167.20551726098634,3
1001,5,6,9,1,cloudy,mild,home,True,0.0,2,12.896822670776888,0
1001,5,6,16,2,clear,hot,home,True,1484.0,2,143.00785546203372,3
1001,5,6,18,3,clear,hot,home,True,863.0,1,100.18666584705878,3
1001,5,6,21,4,cloudy,hot,home,True,1011.0,2,167.93534014116838,3
1001,5,6,23,5,cloudy,hot,home,True,225.0,0,118.48928136595988,3
1001,6,0,9,1,clear,cool,home,True,0.0,0,0.0,0
1001,6,0,16,2,clear,hot,work,True,24.0,0,49.763909915590474,1
1001,6,0,18,3,clear,hot,work,True,0.0,1,50.14506243556914,0
1001,6,0,21,4,clear,hot,home,True,81.0,0,59.30865314114585,2
1001,6,0,23,5,clear,hot,dining,False,2510.0,0,49.29802452931338,3
1001,7,1,9,1,cloudy,cool,home,True,0.0,1,5.067371225933226,0
1001,7,1,16,2,clear,hot,work,True,66.0,2,127.66336096385825,2
1001,7,1,18,3,clear,hot,work,True,0.0,2,95.2322182500005,0
1001,7,1,21,4,cloudy,hot,home,True,249.0,1,126.99782380517084,3
1001,7,1,23,5,clear,hot,home,True,2508.0,0,118.0499602651456,3
1001,8,2,10,1,cloudy,mild,home,True,0.0,0,10.581671765384021,0
1001,8,2,16,2,clear,hot,work,True,0.0,1,34.17286747824761,0
1001,8,2,18,3,cloudy,hot,work,True,276.0,1,100.33747820085861,3
1001,8,2,21,4,cloudy,hot,home,True,265.0,1,166.05374761349447,3
1001,8,2,23,5,clear,hot,home,True,1254.0,0,110.56630804176466,3
1001,9,3,10,1,clear,mild,home,True,0.0,0,0.0,0
1001,9,3,16,2,clear,warm,work,True,300.0,2,144.76531382425824,3
1001,9,3,18,3,clear,hot,work,True,2773.0,1,123.54759395599322,3
1001,9,3,21,4,clear,hot,dining,True,1355.0,1,2.572290870846814,3
1001,9,3,23,5,clear,hot,home,True,159.0,1,55.51862770760364,2
1001,10,4,10,1,clear,mild,home,True,0.0,2,22.792200051277167,0
1001,10,4,16,2,clear,warm,service,False,451.0,0,181.34361727582268,3
1001,10,4,18,3,cloudy,hot,home,True,1444.0,2,263.8072663133016,3
1001,10,4,21,4,clear,hot,home,True,2267.0,0,178.80228880425634,3
1001,10,4,23,5,clear,warm,home,True,1510.0,2,160.594763848539,3
1001,11,5,10,1,clear,cool,home,True,0.0,2,49.93981744594146,0
1001,11,5,16,2,clear,hot,home,True,595.0,2,191.79349436599853,3
1001,11,5,18,3,cloudy,hot,service,True,454.0,0,180.98322542755272,3
1001,11,5,21,4,clear,hot,service,True,490.0,2,141.4031636217897,3
1001,11,5,23,5,clear,warm,service,True,20.0,2,14.024638734115985,1
1001,12,6,10,1,clear,cool,home,True,0.0,2,12.109473458163983,0
1001,12,6,16,2,clear,hot,home,True,858.0,1,290.4721712189078,3
1001,12,6,18,3,clear,hot,home,True,431.0,0,181.68982759328435,3
1001,12,6,21,4,clear,hot,home,True,759.0,0,139.96663642750775,3
1001,12,6,23,5,clear,hot,home,True,305.0,1,89.89155405255546,3
1001,13,0,10,1,cloudy,mild,home,True,27.0,1,83.05491944933027,1
1001,13,0,16,2,clear,warm,work,True,19.0,2,60.04937769640812,1
1001,13,0,18,3,clear,warm,work,True,294.0,2,53.12472162745482,3
1001,13,0,21,4,clear,warm,home,True,974.0,2,155.17605884873893,3
1001,13,0,23,5,clear,warm,dining,True,0.0,2,45.05699545949697,0
1001,14,1,10,1,cloudy,cool,home,True,0.0,1,0.0,0
1001,14,1,16,2,clear,warm,work,True,216.0,0,89.37050628317981,3
1001,14,1,18,3,cloudy,warm,work,True,15.0,0,53.75231327952385,1
1001,14,1,21,4,cloudy,cold,home,True,346.0,0,175.00998026380978,3
1001,14,1,23,5,cloudy,warm,shopping,False,491.0,0,186.01966174664156,3
1001,15,2,10,1,clear,cool,home,True,0.0,0,24.967870422045742,0
1001,15,2,16,2,clear,warm,home,True,686.0,0,295.6542165770818,3
1001,15,2,18,3,clear,hot,home,True,589.0,1,155.8431268988205,3
1001,15,2,21,4,cloudy,warm,home,True,60.0,0,91.60960704806284,2
1001,15,2,23,5,cloudy,warm,activity,True,619.0,0,222.53117680520845,3
1001,16,3,10,1,clear,cool,home,True,0.0,0,15.869635583030425,0
1001,16,3,16,2,clear,warm,work,True,137.0,2,115.97196917015668,2
1001,16,3,18,3,cloudy,warm,work,True,396.0,0,32.29150614297496,3
1001,16,3,21,4,cloudy,warm,home,True,396.0,1,133.70688319393525,3
1001,16,3,23,5,cloudy,mild,shopping,True,365.0,1,80.57715423724501,3
1001,17,4,10,1,cloudy,cool,home,True,207.0,1,294.0161223189556,3
1001,17,4,16,2,clear,warm,work,True,748.0,2,184.4305804315965,3
1001,17,4,18,3,cloudy,warm,work,True,608.0,2,62.22103176996468,3
1001,17,4,21,4,cloudy,warm,home,True,98.0,1,86.3044234755163,2
1001,17,4,23,5,cloudy,warm,dining,True,92.0,2,10.050666949270266,2
1001,18,5,10,1,cloudy,mild,home,True,0.0,0,0.0,0
1001,18,5,16,2,cloudy,warm,home,True,1051.0,2,164.3127017832862,3
1001,18,5,18,3,cloudy,warm,home,True,1189.0,1,140.7660196178634,3
1001,18,5,21,4,cloudy,warm,home,True,750.0,1,102.18133112260827,3
1001,18,5,23,5,cloudy,warm,home,True,351.0,0,133.34418968080777,3
1001,19,6,10,1,cloudy,mild,home,True,0.0,2,20.142536898066187,0
1001,19,6,16,2,cloudy,warm,shopping,True,29.0,0,107.15757291175791,1
1001,19,6,18,3,cloudy,hot,dining,True,369.0,1,92.21275302800699,3
1001,19,6,21,4,cloudy,warm,home,True,273.0,2,186.16556313588057,3
1001,19,6,23,5,cloudy,warm,home,True,218.0,0,118.8574594465649,3
1001,20,0,10,1,cloudy,mild,home,True,0.0,2,34.31406646385852,0
1001,20,0,16,2,cloudy,warm,work,True,710.0,1,4.521341200891044,3
1001,20,0,18,3,bad,warm,work,True,0.0,0,40.98174457967601,0
1001,20,0,21,4,cloudy,warm,home,True,401.0,0,153.38347710692528,3
1001,20,0,23,5,cloudy,warm,home,True,1130.0,0,96.38875804903512,3
1001,21,1,10,1,cloudy,mild,home,True,0.0,2,6.966790180598204,0
1001,21,1,16,2,clear,warm,work,True,206.0,0,79.61107792842965,3
1001,21,1,18,3,cloudy,warm,work,True,0.0,2,71.55165652927865,0
1001,21,1,21,4,clear,hot,home,True,489.0,0,154.58604580192755,3
1001,21,1,23,5,cloudy,warm,dining,True,0.0,0,51.931846567860376,0
1001,22,1,10,1,cloudy,cool,home,True,0.0,0,7.862520299444949,0
1001,22,1,16,2,clear,hot,work,True,45.0,1,23.479523246216104,1
1001,22,1,18,3,cloudy,hot,work,True,454.0,1,116.1232379915594,3
1001,22,1,21,4,cloudy,hot,home,True,24.0,0,73.82607147159217,1
1001,22,1,23,5,clear,warm,dining,True,99.0,1,0.0,2
1001,23,2,10,1,clear,mild,home,True,0.0,0,16.987073756045625,0
1001,23,2,16,2,cloudy,warm,work,True,245.0,0,73.74411090487634,3
1001,23,2,18,3,clear,hot,work,True,83.0,1,144.68921771260747,2
1001,23,2,21,4,cloudy,hot,home,True,125.0,1,59.15447070186896,2
1001,23,2,23,5,clear,hot,dining,True,83.0,2,100.01639490290043,2
1001,24,3,10,1,clear,mild,home,True,0.0,2,0.0,0
1001,24,3,16,2,clear,hot,work,True,276.0,1,57.43871915785071,3
1001,24,3,18,3,clear,hot,work,True,149.0,0,63.54661680365659,2
1001,24,3,21,4,cloudy,warm,home,True,168.0,0,47.276308515752476,2
1001,24,3,23,5,bad,mild,dining,True,0.0,2,134.6902806842268,0
1001,25,4,10,1,cloudy,mild,home,True,0.0,2,31.496814554851795,0
1001,25,4,16,2,cloudy,cold,work,True,19.0,0,34.56598492643093,1
1001,25,4,18,3,cloudy,warm,service,True,0.0,2,8.650023478173942,0
1001,25,4,21,4,cloudy,warm,service,True,136.0,2,34.21202176284275,2
1001,25,4,23,5,cloudy,warm,work,True,635.0,0,135.57281828899454,3
1001,26,5,10,1,cloudy,mild,home,True,0.0,0,0.0,0
1001,26,5,16,2,bad,mild,home,True,311.0,0,246.79580270342512,3
1001,26,5,18,3,cloudy,warm,home,True,556.0,1,163.83877408440847,3
1001,26,5,21,4,clear,warm,dining,False,127.0,0,0.0,2
1001,26,5,23,5,clear,warm,shopping,True,161.0,1,18.435282571241295,2
1001,27,6,10,1,clear,mild,dining,True,0.0,0,27.385715860633184,0
1001,27,6,16,2,clear,hot,home,True,0.0,0,35.70940632142444,0
1001,27,6,18,3,clear,hot,home,True,343.0,1,145.80675813046423,3
1001,27,6,21,4,clear,hot,home,True,264.0,2,179.02703571611318,3
1001,27,6,23,5,clear,hot,home,True,183.0,0,71.9600702191465,2
1001,28,0,16,2,clear,hot,home,True,910.0,2,178.69746402929738,3
1001,28,0,18,3,clear,hot,home,True,75.0,1,40.67589238813386,2
1001,28,0,21,4,clear,hot,shopping,True,65.0,0,44.910805281892436,2
1001,28,0,23,5,cloudy,warm,shopping,True,97.0,1,52.34579232834254,2
1001,29,1,10,1,cloudy,mild,dining,False,0.0,0,74.12846116922458,0
1001,29,1,16,2,cloudy,warm,work,True,146.0,0,120.68679237644305,2
1001,29,1,18,3,clear,hot,work,True,1549.0,0,102.15504765322066,3
1001,29,1,21,4,cloudy,warm,home,True,128.0,2,32.771551993497525,2
1001,29,1,23,5,cloudy,hot,shopping,True,375.0,2,105.21496808368897,3
1001,30,2,10,1,cloudy,mild,home,True,0.0,1,6.777709960470398,0
