uid,study_day,weekday,hr,slot,weather,temp,loc,avail,steps30pre,send,steps10
1,1,2,16,2,cloudy,warm,dining,True,0.0,1,0.0
1,1,2,18,3,cloudy,warm,work,True,418.0,2,414.0
1,1,2,21,4,cloudy,warm,home,True,261.0,0,140.0
1,1,2,23,5,cloudy,warm,home,True,2913.0,1,229.0
1,2,3,9,1,clear,cool,home,True,0.0,0,0.0
1,2,3,16,2,cloudy,warm,home,True,1168.0,1,241.0
1,2,3,18,3,cloudy,warm,home,True,659.0,2,183.0
1,2,3,21,4,cloudy,hot,home,True,2415.0,2,655.0
1,2,3,23,5,cloudy,warm,home,True,43.0,0,0.0
1,3,4,9,1,clear,mild,home,True,0.0,0,0.0
1,3,4,16,2,clear,hot,home,True,470.0,1,71.0
1,3,4,18,3,clear,hot,home,True,206.0,1,233.0
1,3,4,21,4,clear,hot,home,True,930.0,2,1136.0
1,3,4,23,5,clear,hot,home,True,1326.0,0,0.0
1,4,5,9,1,clear,mild,home,True,0.0,2,0.0
1,4,5,16,2,cloudy,hot,service,True,55.0,2,82.0
1,4,5,18,3,cloudy,hot,dining,True,1270.0,2,255.0
1,4,5,21,4,cloudy,hot,home,True,245.0,0,287.0
1,4,5,23,5,clear,hot,shopping,False,353.0,0,84.0
1,5,6,9,1,cloudy,mild,home,True,0.0,2,0.0
1,5,6,16,2,clear,hot,home,True,1484.0,2,673.0
1,5,6,18,3,clear,hot,home,True,863.0,1,95.0
1,5,6,21,4,cloudy,hot,home,True,1011.0,2,204.0
1,5,6,23,5,cloudy,hot,home,True,225.0,0,0.0
1,6,0,9,1,clear,cool,home,True,0.0,0,0.0
1,6,0,16,2,clear,hot,work,True,24.0,0,0.0
1,6,0,18,3,clear,hot,work,True,0.0,1,0.0
1,6,0,21,4,clear,hot,home,True,81.0,0,170.0
1,6,0,23,5,clear,hot,dining,False,2510.0,0,1193.0
1,7,1,9,1,cloudy,cool,home,True,0.0,1,0.0
1,7,1,16,2,clear,hot,work,True,66.0,2,0.0
1,7,1,18,3,clear,hot,work,True,0.0,2,735.0
1,7,1,21,4,cloudy,hot,home,True,249.0,1,55.0
1,7,1,23,5,clear,hot,home,True,2508.0,0,948.0
1,8,2,10,1,cloudy,mild,home,True,0.0,0,95.0
1,8,2,16,2,clear,hot,work,True,0.0,1,55.0
1,8,2,18,3,cloudy,hot,work,True,276.0,1,0.0
1,8,2,21,4,cloudy,hot,home,True,265.0,1,62.0
1,8,2,23,5,clear,hot,home,True,1254.0,0,474.0
1,9,3,10,1,clear,mild,home,True,0.0,0,183.0
1,9,3,16,2,clear,warm,work,True,300.0,2,24.0
1,9,3,18,3,clear,hot,work,True,2773.0,1,176.0
