uid,source_uid,variant_type,archetype,study_day,weekday,hr,slot,weather,temp,loc,avail,steps30pre,send,steps10
1000,1,twin,high_activity,1,0,10,1,cloudy,mild,work,True,0,2,301
1000,1,twin,high_activity,1,0,14,2,clear,warm,home,True,158,2,160
1000,1,twin,high_activity,1,0,16,3,clear,warm,home,True,204,2,155
1000,1,twin,high_activity,1,0,19,4,cloudy,warm,home,True,292,1,705
1000,1,twin,high_activity,1,0,21,5,cloudy,hot,home,True,622,1,530
1000,1,twin,high_activity,2,1,10,1,cloudy,hot,home,True,0,0,25
1000,1,twin,high_activity,2,1,14,2,cloudy,hot,home,True,508,2,160
1000,1,twin,high_activity,2,1,16,3,cloudy,hot,work,True,111,0,355
1000,1,twin,high_activity,2,1,19,4,clear,hot,work,True,105,1,1085
1000,1,twin,high_activity,2,1,21,5,clear,warm,home,True,0,1,786
1000,1,twin,high_activity,3,2,10,1,cloudy,warm,home,True,0,0,25
1000,1,twin,high_activity,3,2,14,2,cloudy,warm,dining,True,84,1,160
1000,1,twin,high_activity,3,2,16,3,cloudy,warm,work,True,0,1,108
1000,1,twin,high_activity,3,2,19,4,cloudy,warm,home,False,25,0,115
1000,1,twin,high_activity,3,2,21,5,cloudy,warm,service,True,742,1,1586
1000,1,twin,high_activity,4,3,10,1,cloudy,cool,home,True,0,2,9999
1000,1,twin,high_activity,4,3,14,2,cloudy,hot,work,True,148,1,160
1000,1,twin,high_activity,4,3,16,3,clear,hot,home,True,738,2,9999
1000,1,twin,high_activity,4,3,19,4,clear,hot,work,True,432,0,160
1000,1,twin,high_activity,4,3,21,5,clear,hot,home,True,5000,0,7633
1000,1,twin,high_activity,5,4,10,1,cloudy,warm,home,True,0,1,9999
1000,1,twin,high_activity,5,4,14,2,cloudy,warm,work,True,0,0,160
1000,1,twin,high_activity,5,4,16,3,cloudy,warm,home,True,39,0,141
1000,1,twin,high_activity,5,4,19,4,cloudy,hot,dining,True,664,1,3082
1000,1,twin,high_activity,5,4,21,5,cloudy,warm,home,True,40,1,7633
1000,1,twin,high_activity,6,5,10,1,clear,cool,home,True,0,1,9999
1000,1,twin,high_activity,6,5,14,2,clear,hot,home,True,20,1,9999
1000,1,twin,high_activity,6,5,16,3,clear,warm,home,True,1692,2,1418
1000,1,twin,high_activity,6,5,19,4,clear,warm,home,True,196,2,9999
1000,1,twin,high_activity,6,5,21,5,clear,warm,home,True,0,0,8463
1000,1,twin,high_activity,7,6,10,1,cloudy,warm,shopping,True,0,2,267
1000,1,twin,high_activity,7,6,14,2,cloudy,hot,dining,True,103,0,160
1000,1,twin,high_activity,7,6,16,3,clear,hot,shopping,True,63,1,168
1000,1,twin,high_activity,7,6,19,4,cloudy,warm,dining,True,66,1,643
1000,1,twin,high_activity,7,6,21,5,cloudy,warm,home,True,1302,1,954
1000,1,twin,high_activity,8,0,10,1,cloudy,warm,home,True,0,2,158
1000,1,twin,high_activity,8,0,14,2,cloudy,warm,dining,False,100,0,160
1000,1,twin,high_activity,8,0,16,3,clear,warm,home,True,0,0,154
1000,1,twin,high_activity,8,0,19,4,clear,warm,work,True,286,2,721
1000,1,twin,high_activity,8,0,21,5,clear,warm,home,True,2502,2,642
1000,1,twin,high_activity,9,1,10,1,cloudy,hot,home,True,0,1,99
1000,1,twin,high_activity,9,1,14,2,cloudy,hot,service,True,210,2,218
1000,1,twin,high_activity,9,1,16,3,clear,hot,service,True,5,2,9999
1000,1,twin,high_activity,9,1,19,4,clear,hot,work,True,18,1,261
1000,1,twin,high_activity,9,1,21,5,clear,hot,home,True,593,2,2500
1000,1,twin,high_activity,10,2,10,1,clear,hot,work,True,0,0,142
1000,1,twin,high_activity,10,2,14,2,cloudy,warm,work,True,159,1,160
1000,1,twin,high_activity,10,2,16,3,clear,hot,home,True,103,0,385
1000,1,twin,high_activity,10,2,19,4,cloudy,hot,home,True,65,0,264
1000,1,twin,high_activity,10,2,21,5,cloudy,hot,work,True,464,0,950
