uid,source_uid,variant_type,archetype,study_day,weekday,hr,slot,weather,temp,loc,avail,steps30pre,send,steps10
1000,1,twin,high_activity,1,0,10,1,cloudy,mild,work,True,0,2,39
1000,1,twin,high_activity,1,0,14,2,cloudy,warm,dining,True,737,0,335
1000,1,twin,high_activity,1,0,16,3,cloudy,warm,work,True,1297,2,0
1000,1,twin,high_activity,1,0,19,4,clear,warm,work,True,95,0,295
1000,1,twin,high_activity,1,0,21,5,clear,warm,home,True,748,2,920
1000,1,twin,high_activity,2,1,10,1,clear,hot,home,True,0,0,0
1000,1,twin,high_activity,2,1,14,2,clear,hot,dining,True,57,0,95
1000,1,twin,high_activity,2,1,16,3,clear,hot,work,True,617,0,348
1000,1,twin,high_activity,2,1,19,4,clear,hot,home,True,353,1,248
1000,1,twin,high_activity,2,1,21,5,clear,hot,dining,True,0,0,142
1000,1,twin,high_activity,3,2,10,1,cloudy,hot,home,True,0,0,0
1000,1,twin,high_activity,3,2,14,2,cloudy,warm,home,True,256,0,234
1000,1,twin,high_activity,3,2,16,3,cloudy,warm,home,True,0,1,0
1000,1,twin,high_activity,3,2,19,4,cloudy,warm,dining,True,79,1,172
1000,1,twin,high_activity,3,2,21,5,clear,warm,home,True,855,0,121
1000,1,twin,high_activity,4,3,10,1,clear,hot,home,True,0,2,0
1000,1,twin,high_activity,4,3,14,2,clear,hot,work,True,34,0,0
1000,1,twin,high_activity,4,3,16,3,clear,warm,work,True,174,0,288
1000,1,twin,high_activity,4,3,19,4,clear,warm,work,True,83,0,191
1000,1,twin,high_activity,4,3,21,5,cloudy,hot,home,True,444,0,417
1000,1,twin,high_activity,5,4,10,1,cloudy,hot,activity,False,250,0,453
1000,1,twin,high_activity,5,4,14,2,cloudy,hot,home,True,267,0,395
1000,1,twin,high_activity,5,4,16,3,clear,hot,home,True,1836,0,372
1000,1,twin,high_activity,5,4,19,4,cloudy,hot,home,True,0,0,181
1000,1,twin,high_activity,5,4,21,5,cloudy,hot,work,True,0,2,400
1000,1,twin,high_activity,6,5,10,1,cloudy,cool,home,True,0,1,305
1000,1,twin,high_activity,6,5,14,2,cloudy,cool,home,True,30,1,198
1000,1,twin,high_activity,6,5,16,3,cloudy,hot,home,True,347,2,686
1000,1,twin,high_activity,6,5,19,4,cloudy,hot,shopping,True,79,1,121
1000,1,twin,high_activity,6,5,21,5,cloudy,hot,dining,True,3671,0,447
1000,1,twin,high_activity,7,6,10,1,clear,warm,home,True,47,0,0
1000,1,twin,high_activity,7,6,14,2,clear,warm,home,True,624,0,263
1000,1,twin,high_activity,7,6,16,3,cloudy,mild,home,True,4599,1,0
1000,1,twin,high_activity,7,6,19,4,cloudy,mild,dining,True,345,2,208
1000,1,twin,high_activity,7,6,21,5,cloudy,hot,shopping,True,218,1,238
1000,1,twin,high_activity,8,0,10,1,cloudy,hot,home,True,0,1,0
1000,1,twin,high_activity,8,0,14,2,cloudy,hot,home,True,88,2,372
1000,1,twin,high_activity,8,0,16,3,cloudy,hot,work,True,142,0,223
1000,1,twin,high_activity,8,0,19,4,cloudy,hot,home,True,511,0,257
1000,1,twin,high_activity,8,0,21,5,bad,hot,work,True,92,0,311
1000,1,twin,high_activity,9,1,10,1,clear,warm,work,True,0,1,132
1000,1,twin,high_activity,9,1,14,2,clear,warm,dining,True,14,1,0
1000,1,twin,high_activity,9,1,16,3,clear,warm,work,True,325,0,0
1000,1,twin,high_activity,9,1,19,4,cloudy,warm,home,True,58,2,114
1000,1,twin,high_activity,9,1,21,5,bad,warm,shopping,False,0,0,210
1000,1,twin,high_activity,10,2,10,1,clear,hot,home,True,0,0,0
1000,1,twin,high_activity,10,2,14,2,clear,hot,dining,False,0,0,198
1000,1,twin,high_activity,10,2,16,3,cloudy,warm,other,True,268,2,0
1000,1,twin,high_activity,10,2,19,4,clear,warm,work,True,366,0,0
1000,1,twin,high_activity,10,2,21,5,cloudy,warm,work,True,0,2,280
1000,1,twin,high_activity,11,3,10,1,clear,warm,home,True,0,2,54
1000,1,twin,high_activity,11,3,14,2,clear,warm,home,False,461,0,206
1000,1,twin,high_activity,11,3,16,3,clear,mild,shopping,True,845,0,248
1000,1,twin,high_activity,11,3,19,4,cloudy,warm,service,True,1170,1,500
1000,1,twin,high_activity,11,3,21,5,bad,warm,service,True,4333,0,0
1000,1,twin,high_activity,12,4,10,1,cloudy,hot,work,True,0,0,0
1000,1,twin,high_activity,12,4,14,2,clear,hot,work,True,35,2,164
1000,1,twin,high_activity,12,4,16,3,clear,hot,work,True,221,1,165
1000,1,twin,high_activity,12,4,19,4,cloudy,hot,work,True,321,1,0
1000,1,twin,high_activity,12,4,21,5,cloudy,warm,home,True,162,2,0
1000,1,twin,high_activity,13,5,10,1,clear,warm,home,True,0,0,89
1000,1,twin,high_activity,13,5,14,2,cloudy,warm,home,True,93,0,0
1000,1,twin,high_activity,13,5,16,3,clear,warm,dining,True,53,2,0
1000,1,twin,high_activity,13,5,19,4,clear,mild,shopping,True,1668,0,146
1000,1,twin,high_activity,13,5,21,5,clear,warm,shopping,True,8,0,29
1000,1,twin,high_activity,14,6,10,1,clear,hot,service,True,0,1,0
1000,1,twin,high_activity,14,6,14,2,clear,hot,service,True,92,2,0
1000,1,twin,high_activity,14,6,16,3,clear,warm,service,True,236,0,0
1000,1,twin,high_activity,14,6,19,4,cloudy,warm,dining,True,155,2,186
1000,1,twin,high_activity,14,6,21,5,cloudy,warm,shopping,False,8,0,29
1000,1,twin,high_activity,15,0,10,1,cloudy,mild,home,True,0,2,20
1000,1,twin,high_activity,15,0,14,2,cloudy,hot,home,True,22,1,140
1000,1,twin,high_activity,15,0,16,3,bad,hot,dining,True,0,2,161
1000,1,twin,high_activity,15,0,19,4,cloudy,hot,home,True,241,2,275
1000,1,twin,high_activity,15,0,21,5,cloudy,warm,home,True,134,1,83
1000,1,twin,high_activity,16,1,10,1,cloudy,cool,work,True,0,0,35
1000,1,twin,high_activity,16,1,14,2,cloudy,warm,home,True,28,0,102
1000,1,twin,high_activity,16,1,16,3,bad,warm,home,True,0,2,130
1000,1,twin,high_activity,16,1,19,4,cloudy,hot,work,True,1938,0,0
1000,1,twin,high_activity,16,1,21,5,cloudy,hot,home,True,248,0,139
1000,1,twin,high_activity,17,2,10,1,cloudy,cool,home,True,0,1,0
1000,1,twin,high_activity,17,2,14,2,cloudy,cool,shopping,True,264,2,98
1000,1,twin,high_activity,17,2,16,3,bad,hot,service,True,116,1,0
1000,1,twin,high_activity,17,2,19,4,bad,hot,work,True,6,0,0
1000,1,twin,high_activity,17,2,21,5,cloudy,hot,home,True,0,0,0
1000,1,twin,high_activity,18,3,10,1,cloudy,warm,home,True,0,0,48
1000,1,twin,high_activity,18,3,14,2,cloudy,warm,home,True,86,0,0
