uid,source_uid,variant_type,archetype,study_day,weekday,hr,slot,weather,temp,loc,avail,steps30pre,send,steps10
1000,1,twin,high_activity,1,0,10,1,cloudy,mild,work,True,0,2,26
1000,1,twin,high_activity,1,0,14,2,clear,warm,home,True,158,2,340
1000,1,twin,high_activity,1,0,16,3,clear,warm,home,True,204,2,301
1000,1,twin,high_activity,1,0,19,4,cloudy,warm,home,True,292,1,83
1000,1,twin,high_activity,1,0,21,5,cloudy,hot,home,True,622,1,387
1000,1,twin,high_activity,2,1,10,1,cloudy,hot,home,True,0,0,11
1000,1,twin,high_activity,2,1,14,2,cloudy,hot,home,True,508,2,370
1000,1,twin,high_activity,2,1,16,3,cloudy,hot,work,True,111,0,141
1000,1,twin,high_activity,2,1,19,4,clear,hot,work,True,105,1,79
1000,1,twin,high_activity,2,1,21,5,clear,warm,home,True,0,1,54
1000,1,twin,high_activity,3,2,10,1,cloudy,warm,home,True,0,0,10
1000,1,twin,high_activity,3,2,14,2,cloudy,warm,dining,True,84,1,100
1000,1,twin,high_activity,3,2,16,3,cloudy,warm,work,True,0,1,101
1000,1,twin,high_activity,3,2,19,4,cloudy,warm,home,False,25,0,80
1000,1,twin,high_activity,3,2,21,5,cloudy,warm,service,True,742,1,142
1000,1,twin,high_activity,4,3,10,1,cloudy,cool,home,True,0,2,25
1000,1,twin,high_activity,4,3,14,2,cloudy,hot,work,True,148,1,210
1000,1,twin,high_activity,4,3,16,3,clear,hot,home,True,738,2,298
1000,1,twin,high_activity,4,3,19,4,clear,hot,work,True,432,0,275
1000,1,twin,high_activity,4,3,21,5,clear,hot,home,True,5000,0,338
1000,1,twin,high_activity,5,4,10,1,cloudy,warm,home,True,0,1,100
1000,1,twin,high_activity,5,4,14,2,cloudy,warm,work,True,0,0,57
1000,1,twin,high_activity,5,4,16,3,cloudy,warm,home,True,39,0,60
1000,1,twin,high_activity,5,4,19,4,cloudy,hot,dining,True,664,1,140
1000,1,twin,high_activity,5,4,21,5,cloudy,warm,home,True,40,1,54
1000,1,twin,high_activity,6,5,10,1,clear,cool,home,True,0,1,100
