uid,source_uid,variant_type,archetype,study_day,weekday,hr,slot,weather,temp,loc,avail,steps30pre,send,steps10
1000,1,twin,high_activity,1,0,10,1,cloudy,mild,work,True,0,2,0
1000,1,twin,high_activity,1,0,14,2,clear,warm,home,True,158,1,0
1000,1,twin,high_activity,1,0,16,3,clear,mild,dining,True,168,2,0
1000,1,twin,high_activity,1,0,19,4,cloudy,mild,work,True,312,2,0
1000,1,twin,high_activity,1,0,21,5,cloudy,warm,work,True,0,1,0
1000,1,twin,high_activity,2,1,10,1,clear,hot,dining,True,0,2,0
1000,1,twin,high_activity,2,1,14,2,clear,hot,work,True,384,2,0
1000,1,twin,high_activity,2,1,16,3,cloudy,hot,work,True,147,1,0
1000,1,twin,high_activity,2,1,19,4,cloudy,hot,work,True,482,0,180
1000,1,twin,high_activity,2,1,21,5,clear,hot,work,True,0,0,0
1000,1,twin,high_activity,3,2,10,1,clear,hot,work,True,0,2,0
1000,1,twin,high_activity,3,2,14,2,clear,warm,work,True,72,0,509
1000,1,twin,high_activity,3,2,16,3,clear,warm,home,True,19,0,0
1000,1,twin,high_activity,3,2,19,4,cloudy,warm,home,True,102,1,0
1000,1,twin,high_activity,3,2,21,5,clear,hot,work,True,0,1,0
1000,1,twin,high_activity,4,3,10,1,clear,mild,work,True,0,1,0
1000,1,twin,high_activity,4,3,14,2,clear,warm,home,True,482,0,369
1000,1,twin,high_activity,4,3,16,3,clear,hot,work,True,552,2,732
1000,1,twin,high_activity,4,3,19,4,cloudy,warm,work,True,313,1,0
1000,1,twin,high_activity,4,3,21,5,cloudy,warm,home,True,0,2,0
1000,1,twin,high_activity,5,4,10,1,clear,warm,work,True,0,2,0
1000,1,twin,high_activity,5,4,14,2,clear,hot,home,True,0,0,0
1000,1,twin,high_activity,5,4,16,3,cloudy,hot,shopping,True,175,2,576
1000,1,twin,high_activity,5,4,19,4,clear,hot,activity,False,1704,0,1178
1000,1,twin,high_activity,5,4,21,5,clear,hot,home,True,1269,2,437
1000,1,twin,high_activity,6,5,10,1,clear,warm,home,True,0,0,0
1000,1,twin,high_activity,6,5,14,2,cloudy,warm,home,True,81,0,0
1000,1,twin,high_activity,6,5,16,3,clear,warm,home,True,0,1,0
1000,1,twin,high_activity,6,5,19,4,clear,hot,home,True,179,2,438
1000,1,twin,high_activity,6,5,21,5,clear,hot,home,True,203,0,464
1000,1,twin,high_activity,7,6,10,1,clear,warm,home,True,0,1,0
1000,1,twin,high_activity,7,6,14,2,cloudy,warm,dining,True,0,2,0
1000,1,twin,high_activity,7,6,16,3,clear,warm,shopping,True,5000,0,310
1000,1,twin,high_activity,7,6,19,4,clear,hot,shopping,True,26,2,484
1000,1,twin,high_activity,7,6,21,5,clear,hot,dining,True,60,2,438
1000,1,twin,high_activity,8,0,10,1,cloudy,warm,home,True,0,0,0
1000,1,twin,high_activity,8,0,14,2,cloudy,warm,home,True,155,2,0
1000,1,twin,high_activity,8,0,16,3,clear,warm,home,True,384,0,385
1000,1,twin,high_activity,8,0,19,4,clear,hot,home,True,14,2,237
1000,1,twin,high_activity,8,0,21,5,cloudy,hot,work,True,218,1,586
1000,1,twin,high_activity,9,1,10,1,cloudy,hot,work,True,0,1,0
1000,1,twin,high_activity,9,1,14,2,clear,hot,home,True,131,0,367
1000,1,twin,high_activity,9,1,16,3,cloudy,hot,home,True,2768,2,520
1000,1,twin,high_activity,9,1,19,4,cloudy,hot,work,True,535,0,340
1000,1,twin,high_activity,9,1,21,5,clear,hot,home,False,230,0,734
1000,1,twin,high_activity,10,2,10,1,clear,mild,work,True,26,0,0
1000,1,twin,high_activity,10,2,14,2,clear,warm,work,True,223,2,350
1000,1,twin,high_activity,10,2,16,3,clear,hot,home,True,0,1,240
1000,1,twin,high_activity,10,2,19,4,cloudy,hot,home,True,241,0,160
1000,1,twin,high_activity,10,2,21,5,clear,warm,shopping,True,212,1,420
1000,1,twin,high_activity,11,3,10,1,clear,hot,home,True,87,0,0
1000,1,twin,high_activity,11,3,14,2,clear,warm,work,True,168,2,324
1000,1,twin,high_activity,11,3,16,3,clear,warm,home,True,328,2,327
1000,1,twin,high_activity,11,3,19,4,clear,hot,home,True,65,0,334
1000,1,twin,high_activity,11,3,21,5,clear,hot,home,True,837,1,230
1000,1,twin,high_activity,12,4,10,1,cloudy,warm,work,True,0,2,0
1000,1,twin,high_activity,12,4,14,2,cloudy,hot,work,True,987,0,996
1000,1,twin,high_activity,12,4,16,3,cloudy,hot,work,True,92,0,224
1000,1,twin,high_activity,12,4,19,4,cloudy,hot,work,True,38,2,329
1000,1,twin,high_activity,12,4,21,5,clear,warm,home,True,98,1,216
1000,1,twin,high_activity,13,5,10,1,cloudy,cool,home,True,0,1,0
1000,1,twin,high_activity,13,5,14,2,clear,warm,home,True,2934,0,1900
1000,1,twin,high_activity,13,5,16,3,clear,warm,home,True,65,1,143
1000,1,twin,high_activity,13,5,19,4,clear,warm,home,True,42,2,180
1000,1,twin,high_activity,13,5,21,5,clear,warm,dining,True,48,0,0
1000,1,twin,high_activity,14,6,10,1,clear,cool,shopping,True,0,2,0
1000,1,twin,high_activity,14,6,14,2,cloudy,warm,dining,True,0,0,0
1000,1,twin,high_activity,14,6,16,3,cloudy,warm,home,True,135,2,162
1000,1,twin,high_activity,14,6,19,4,clear,warm,home,False,78,0,170
1000,1,twin,high_activity,14,6,21,5,clear,warm,home,True,293,0,0
1000,1,twin,high_activity,15,0,10,1,cloudy,warm,dining,True,6,2,0
1000,1,twin,high_activity,15,0,14,2,cloudy,warm,home,True,208,0,165
1000,1,twin,high_activity,15,0,16,3,cloudy,mild,home,True,100,1,150
1000,1,twin,high_activity,15,0,19,4,clear,hot,work,True,119,0,273
1000,1,twin,high_activity,15,0,21,5,clear,hot,work,True,391,1,328
1000,1,twin,high_activity,16,1,10,1,clear,mild,home,True,0,0,0
1000,1,twin,high_activity,16,1,14,2,cloudy,warm,home,True,420,2,239
1000,1,twin,high_activity,16,1,16,3,cloudy,warm,home,True,59,2,146
1000,1,twin,high_activity,16,1,19,4,cloudy,warm,shopping,True,32,2,87
1000,1,twin,high_activity,16,1,21,5,cloudy,warm,service,False,2643,0,2136
1000,1,twin,high_activity,17,2,10,1,clear,mild,home,True,0,2,0
1000,1,twin,high_activity,17,2,14,2,cloudy,warm,service,True,62,1,213
1000,1,twin,high_activity,17,2,16,3,cloudy,hot,home,True,479,1,200
1000,1,twin,high_activity,17,2,19,4,cloudy,hot,work,True,244,1,167
1000,1,twin,high_activity,17,2,21,5,clear,hot,work,True,0,2,0
1000,1,twin,high_activity,18,3,10,1,cloudy,mild,home,True,0,1,0
1000,1,twin,high_activity,18,3,14,2,clear,hot,home,True,0,2,0
1000,1,twin,high_activity,18,3,16,3,cloudy,hot,home,True,0,2,0
1000,1,twin,high_activity,18,3,19,4,cloudy,hot,shopping,True,133,0,0
1000,1,twin,high_activity,18,3,21,5,clear,hot,service,False,159,0,807
1000,1,twin,high_activity,19,4,10,1,clear,warm,shopping,True,0,2,0
1000,1,twin,high_activity,19,4,14,2,cloudy,warm,service,True,21,0,0
1000,1,twin,high_activity,19,4,16,3,clear,warm,activity,True,719,2,815
1000,1,twin,high_activity,19,4,19,4,cloudy,hot,home,True,541,1,176
1000,1,twin,high_activity,19,4,21,5,cloudy,hot,home,True,76,0,440
1000,1,twin,high_activity,20,5,10,1,cloudy,hot,home,True,0,0,0
1000,1,twin,high_activity,20,5,14,2,cloudy,warm,home,True,367,0,300
1000,1,twin,high_activity,20,5,16,3,clear,warm,home,True,594,2,245
1000,1,twin,high_activity,20,5,19,4,clear,warm,home,True,1435,2,338
1000,1,twin,high_activity,20,5,21,5,clear,warm,home,True,0,2,103
1000,1,twin,high_activity,21,6,10,1,cloudy,warm,home,True,0,1,0
1000,1,twin,high_activity,21,6,14,2,cloudy,cold,shopping,True,303,2,142
1000,1,twin,high_activity,21,6,16,3,cloudy,warm,shopping,True,1144,0,163
1000,1,twin,high_activity,21,6,19,4,cloudy,warm,shopping,True,433,0,212
1000,1,twin,high_activity,21,6,21,5,clear,warm,service,False,1833,0,1747
1000,1,twin,high_activity,22,0,10,1,cloudy,warm,work,True,0,2,0
1000,1,twin,high_activity,22,0,14,2,clear,hot,work,True,206,1,246
1000,1,twin,high_activity,22,0,16,3,clear,warm,work,True,387,0,280
1000,1,twin,high_activity,22,0,19,4,clear,hot,home,True,35,1,0
1000,1,twin,high_activity,22,0,21,5,clear,hot,activity,True,348,2,750
1000,1,twin,high_activity,23,1,10,1,cloudy,warm,dining,True,0,0,0
1000,1,twin,high_activity,23,1,14,2,clear,warm,work,True,26,2,237
1000,1,twin,high_activity,23,1,16,3,clear,warm,work,True,390,0,332
1000,1,twin,high_activity,23,1,19,4,cloudy,warm,home,True,2480,2,237
1000,1,twin,high_activity,23,1,21,5,cloudy,hot,home,True,5000,1,297
1000,1,twin,high_activity,24,2,10,1,clear,hot,home,True,0,0,0
1000,1,twin,high_activity,24,2,14,2,clear,hot,shopping,True,18,2,364
1000,1,twin,high_activity,24,2,16,3,clear,warm,service,True,205,1,200
1000,1,twin,high_activity,24,2,19,4,clear,warm,home,True,124,2,237
1000,1,twin,high_activity,24,2,21,5,cloudy,hot,shopping,True,0,0,0
1000,1,twin,high_activity,25,3,10,1,cloudy,mild,work,True,0,0,0
1000,1,twin,high_activity,25,3,14,2,cloudy,warm,work,True,15,2,340
1000,1,twin,high_activity,25,3,16,3,clear,hot,home,True,34,2,145
1000,1,twin,high_activity,25,3,19,4,clear,hot,home,True,923,0,735
1000,1,twin,high_activity,25,3,21,5,clear,hot,home,True,302,1,213
1000,1,twin,high_activity,26,4,10,1,clear,hot,home,True,0,2,0
1000,1,twin,high_activity,26,4,14,2,cloudy,warm,work,True,126,0,159
1000,1,twin,high_activity,26,4,16,3,cloudy,warm,work,True,131,2,317
1000,1,twin,high_activity,26,4,19,4,cloudy,warm,home,True,32,0,153
1000,1,twin,high_activity,26,4,21,5,cloudy,warm,dining,False,0,0,0
1000,1,twin,high_activity,27,5,10,1,clear,warm,shopping,True,0,1,0
1000,1,twin,high_activity,27,5,14,2,clear,warm,shopping,True,33,1,0
