day_slot,is_randomized,weather,temperature,location,activity,jbsteps30pre_bucket,send,response,user_id,study_day,is_weekday,activity_level,zero_tendency,jbsteps30pre,uid
1,False,Clear,temp_cool,Work,STILL,steps_zero,0,no_send,1,2,True,mid,common,0,1
2,True,Clear,temp_cool,Home,STILL,steps_q5,2,no_response,1,2,True,mid,common,230,1
3,True,Clear,temp_cool,Work,STILL,steps_q3,1,no_response,1,2,True,mid,common,73,1
4,True,Clear,temp_cool,Work,STILL,steps_q4,1,no_response,1,2,True,mid,common,132,1
5,True,Clear,temp_cool,Home,STILL,steps_q2,1,good,1,2,True,mid,common,48,1
1,False,Clear,temp_mild,Home,STILL,steps_zero,0,no_send,1,4,True,mid,common,0,1
2,False,Clear,temp_mild,Home,STILL,steps_q7,0,no_send,1,4,True,mid,common,442,1
3,True,Clear,temp_warm,Home,STILL,steps_zero,1,no_response,1,4,True,mid,common,0,1
4,True,Clear,temp_warm,Home,STILL,steps_q6,1,no_response,1,4,True,mid,common,284,1
2,True,Overcast,temp_warm,Work,STILL,steps_zero,1,good,1,5,True,mid,common,0,1
3,True,Overcast,temp_warm,Work,STILL,steps_q8,2,good,1,5,True,mid,common,730,1
4,True,Overcast,temp_warm,Home,STILL,steps_q6,1,good,1,5,True,mid,common,254,1
5,True,MostlyCloudy,temp_warm,Work,STILL,steps_q2,1,good,1,5,True,mid,common,70,1
1,False,Clear,temp_hot,Healthcare,STILL,steps_q6,0,no_send,1,6,False,mid,common,284,1
2,True,PartlyCloudy,temp_hot,Home,STILL,steps_q1,2,bad,1,6,False,mid,common,34,1
3,True,Clear,temp_hot,Home,STILL,steps_q3,1,good,1,6,False,mid,common,106,1
4,True,Clear,temp_hot,Home,STILL,steps_q3,2,good,1,6,False,mid,common,109,1
5,True,Clear,temp_hot,Home,STILL,steps_q6,2,no_response,1,6,False,mid,common,305,1
2,False,Clear,temp_warm,Healthcare,STILL,steps_q4,0,no_send,1,7,False,mid,common,157,1
4,True,Clear,temp_hot,Healthcare,STILL,steps_q2,2,no_response,1,7,False,mid,common,41,1
5,True,Clear,temp_mild,Healthcare,STILL,steps_zero,2,no_response,1,7,False,mid,common,0,1
1,False,PartlyCloudy,temp_mild,Restaurant,STILL,steps_zero,0,no_send,1,8,True,mid,common,0,1
3,False,Overcast,temp_mild,Work,STILL,steps_q6,0,no_send,1,8,True,mid,common,249,1
4,True,Overcast,temp_mild,Work,STILL,steps_zero,1,bad,1,8,True,mid,common,0,1
5,True,Clear,temp_mild,Home,STILL,steps_q4,1,good,1,8,True,mid,common,135,1
1,True,Overcast,temp_mild,Store,STILL,steps_q8,2,bad,1,9,True,mid,common,464,1
4,False,Clear,temp_warm,Park,STILL,steps_q5,0,no_send,1,9,True,mid,common,212,1
5,False,Clear,temp_warm,Healthcare,STILL,steps_q2,0,no_send,1,9,True,mid,common,61,1
1,False,Overcast,temp_mild,Home,STILL,steps_q8,0,no_send,1,11,True,mid,common,568,1
2,True,Overcast,temp_mild,Healthcare,STILL,steps_q7,2,good,1,11,True,mid,common,341,1
3,True,Overcast,temp_mild,Healthcare,STILL,steps_zero,2,no_response,1,11,True,mid,common,0,1
4,False,Overcast,temp_mild,Healthcare,STILL,steps_zero,0,no_send,1,11,True,mid,common,0,1
5,True,Clear,temp_mild,Healthcare,STILL,steps_zero,1,good,1,11,True,mid,common,0,1
1,True,PartlyCloudy,temp_cold,Work,STILL,steps_q1,2,no_response,1,13,False,mid,common,21,1
2,True,Clear,temp_cold,Store,ON_MOVE,steps_zero,0,no_send,1,13,False,mid,common,0,1
3,True,Clear,temp_cold,Work,STILL,steps_q5,2,good,1,13,False,mid,common,230,1
4,True,Clear,temp_cool,Restaurant,STILL,steps_q4,1,good,1,13,False,mid,common,144,1
5,False,PartlyCloudy,temp_cold,Restaurant,STILL,steps_zero,0,no_send,1,13,False,mid,common,0,1
1,True,PartlyCloudy,temp_mild,Home,STILL,steps_q4,1,no_response,1,15,True,mid,common,132,1
2,False,MostlyCloudy,temp_cool,Work,STILL,steps_q5,0,no_send,1,15,True,mid,common,177,1
3,True,MostlyCloudy,temp_cool,Work,STILL,steps_q5,1,bad,1,15,True,mid,common,215,1
4,True,MostlyCloudy,temp_cool,Work,STILL,steps_q3,2,no_response,1,15,True,mid,common,74,1
5,True,PartlyCloudy,temp_mild,Work,STILL,steps_zero,2,bad,1,15,True,mid,common,0,1
1,True,Clear,temp_cool,Store,STILL,steps_zero,2,no_response,1,16,True,mid,common,0,1
2,True,Clear,temp_mild,Store,STILL,steps_zero,2,no_response,1,16,True,mid,common,0,1
