day_slot,is_randomized,weather,temperature,location,activity,jbsteps30pre_bucket,send,response,user_id,study_day,is_weekday,activity_level,zero_tendency,jbsteps30pre
1,False,Clear,temp_cool,Work,STILL,steps_zero,no_send,no_send,1,2,True,mid,common,0
2,True,Clear,temp_cool,Home,STILL,steps_q5,non_activity,no_response,1,2,True,mid,common,230
3,True,Clear,temp_cool,Work,STILL,steps_q3,activity,no_response,1,2,True,mid,common,73
4,True,Clear,temp_cool,Work,STILL,steps_q4,activity,no_response,1,2,True,mid,common,132
5,True,Clear,temp_cool,Home,STILL,steps_q2,activity,good,1,2,True,mid,common,48
1,False,Clear,temp_mild,Home,STILL,steps_zero,no_send,no_send,1,4,True,mid,common,0
2,False,Clear,temp_mild,Home,STILL,steps_q7,no_send,no_send,1,4,True,mid,common,442
3,True,Clear,temp_warm,Home,STILL,steps_zero,activity,no_response,1,4,True,mid,common,0
4,True,Clear,temp_warm,Home,STILL,steps_q6,activity,no_response,1,4,True,mid,common,284
2,True,Overcast,temp_warm,Work,STILL,steps_zero,activity,good,1,5,True,mid,common,0
3,True,Overcast,temp_warm,Work,STILL,steps_q8,non_activity,good,1,5,True,mid,common,730
4,True,Overcast,temp_warm,Home,STILL,steps_q6,activity,good,1,5,True,mid,common,254
5,True,MostlyCloudy,temp_warm,Work,STILL,steps_q2,activity,good,1,5,True,mid,common,70
1,False,Clear,temp_hot,Healthcare,STILL,steps_q6,no_send,no_send,1,6,False,mid,common,284
2,True,PartlyCloudy,temp_hot,Home,STILL,steps_q1,non_activity,bad,1,6,False,mid,common,34
3,True,Clear,temp_hot,Home,STILL,steps_q3,activity,good,1,6,False,mid,common,106
4,True,Clear,temp_hot,Home,STILL,steps_q3,non_activity,good,1,6,False,mid,common,109
5,True,Clear,temp_hot,Home,STILL,steps_q6,non_activity,no_response,1,6,False,mid,common,305
2,False,Clear,temp_warm,Healthcare,STILL,steps_q4,no_send,no_send,1,7,False,mid,common,157
4,True,Clear,temp_hot,Healthcare,STILL,steps_q2,non_activity,no_response,1,7,False,mid,common,41
5,True,Clear,temp_mild,Healthcare,STILL,steps_zero,non_activity,no_response,1,7,False,mid,common,0
1,False,PartlyCloudy,temp_mild,Restaurant,STILL,steps_zero,no_send,no_send,1,8,True,mid,common,0
3,False,Overcast,temp_mild,Work,STILL,steps_q6,no_send,no_send,1,8,True,mid,common,249
4,True,Overcast,temp_mild,Work,STILL,steps_zero,activity,bad,1,8,True,mid,common,0
5,True,Clear,temp_mild,Home,STILL,steps_q4,activity,good,1,8,True,mid,common,135
1,True,Overcast,temp_mild,Store,STILL,steps_q8,non_activity,bad,1,9,True,mid,common,464
4,False,Clear,temp_warm,Park,STILL,steps_q5,no_send,no_send,1,9,True,mid,common,212
5,False,Clear,temp_warm,Healthcare,STILL,steps_q2,no_send,no_send,1,9,True,mid,common,61
1,False,Overcast,temp_mild,Home,STILL,steps_q8,no_send,no_send,1,11,True,mid,common,568
2,True,Overcast,temp_mild,Healthcare,STILL,steps_q7,non_activity,good,1,11,True,mid,common,341
3,True,Overcast,temp_mild,Healthcare,STILL,steps_zero,non_activity,no_response,1,11,True,mid,common,0
4,False,Overcast,temp_mild,Healthcare,STILL,steps_zero,no_send,no_send,1,11,True,mid,common,0
5,True,Clear,temp_mild,Healthcare,STILL,steps_zero,activity,good,1,11,True,mid,common,0
1,True,PartlyCloudy,temp_cold,Work,STILL,steps_q1,non_activity,no_response,1,13,False,mid,common,21
2,True,Clear,temp_cold,Store,ON_MOVE,steps_zero,no_send,no_send,1,13,False,mid,common,0
3,True,Clear,temp_cold,Work,STILL,steps_q5,non_activity,good,1,13,False,mid,common,230
4,True,Clear,temp_cool,Restaurant,STILL,steps_q4,activity,good,1,13,False,mid,common,144
5,False,PartlyCloudy,temp_cold,Restaurant,STILL,steps_zero,no_send,no_send,1,13,False,mid,common,0
1,True,PartlyCloudy,temp_mild,Home,STILL,steps_q4,activity,no_response,1,15,True,mid,common,132
2,False,MostlyCloudy,temp_cool,Work,STILL,steps_q5,no_send,no_send,1,15,True,mid,common,177
3,True,MostlyCloudy,temp_cool,Work,STILL,steps_q5,activity,bad,1,15,True,mid,common,215
4,True,MostlyCloudy,temp_cool,Work,STILL,steps_q3,non_activity,no_response,1,15,True,mid,common,74
5,True,PartlyCloudy,temp_mild,Work,STILL,steps_zero,non_activity,bad,1,15,True,mid,common,0
1,True,Clear,temp_cool,Store,STILL,steps_zero,non_activity,no_response,1,16,True,mid,common,0
2,True,Clear,temp_mild,Store,STILL,steps_zero,non_activity,no_response,1,16,True,mid,common,0
3,False,Clear,temp_cool,Store,STILL,steps_q3,no_send,no_send,1,16,True,mid,common,100
4,True,Clear,temp_cool,Store,STILL,steps_q7,non_activity,bad,1,16,True,mid,common,416
2,True,PartlyCloudy,temp_mild,Work,STILL,steps_q2,activity,no_response,1,18,True,mid,common,44
3,True,PartlyCloudy,temp_mild,Work,STILL,steps_zero,activity,no_response,1,18,True,mid,common,0
4,True,Clear,temp_cool,Home,STILL,steps_zero,activity,no_response,1,18,True,mid,common,0
5,False,Clear,temp_cool,Restaurant,STILL,steps_q7,no_send,no_send,1,18,True,mid,common,334
1,True,Clear,temp_mild,Home,STILL,steps_q6,activity,no_response,1,20,False,mid,common,314
2,False,Clear,temp_warm,Home,STILL,steps_q7,no_send,no_send,1,20,False,mid,common,323
3,True,Clear,temp_warm,Home,STILL,steps_q6,non_activity,no_response,1,20,False,mid,common,248
4,False,Clear,temp_warm,Home,STILL,steps_zero,no_send,no_send,1,20,False,mid,common,0
5,True,Clear,temp_cool,Home,STILL,steps_q6,activity,no_response,1,20,False,mid,common,266
1,True,Clear,temp_cool,Home,STILL,steps_q7,activity,good,1,21,False,mid,common,348
2,True,Clear,temp_cool,Home,STILL,steps_q3,non_activity,no_response,1,21,False,mid,common,77
3,True,Clear,temp_mild,Home,STILL,steps_q8,non_activity,bad,1,21,False,mid,common,704
4,False,Clear,temp_mild,Home,STILL,steps_q6,no_send,no_send,1,21,False,mid,common,275
5,True,Clear,temp_mild,Home,STILL,steps_high,non_activity,good,1,21,False,mid,common,1092
1,True,Clear,temp_warm,FurnitureStore,STILL,steps_high,non_activity,no_response,1,23,True,mid,common,907
